"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"extremogram","extremogram","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0.0",NA,"R (>= 3.1.0)","boot(>= 1.3-11), MASS(>= 7.3-31), parallel(>= 3.1.1)",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","3.2.4"
"extWeibQuant","extWeibQuant","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.1",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.2.4"
"eyetracking","eyetracking","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.1",NA,NA,NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,NA,"3.2.4"
"eyetrackingR","eyetrackingR","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.1.5",NA,"R (>= 3.2.0)","broom (>= 0.3.7), dplyr (>= 0.4.3), ggplot2 (>= 2.0), lazyeval
(>= 0.1.10), zoo (>= 1.7-12), tidyr (>= 0.3.1)",NA,"pbapply, knitr, lme4 (>= 1.1-10), Matrix, testthat,
rmarkdown, doMC, foreach",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.2.4"
"ez","ez","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","4.3",NA,"R (>= 3.0.0)","car (>= 2.0-12), ggplot2 (>= 0.9.1), lme4 (>= 0.999999-0),
MASS (>= 7.3-29), Matrix (>= 1.0-6), mgcv (>= 1.7-13), plyr (>=
1.7.1), reshape2 (>= 1.2.1), scales (>= 0.2.1), stringr (>=
0.6.1)",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"ezec","ezec","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.1.0",NA,"R (>= 3.2.0)","drc, dplyr",NA,"testthat, readxl, knitr, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"no","3.2.4"
"ezglm","ezglm","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"3.2.4"
"ezknitr","ezknitr","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.3.1",NA,"R (>= 3.0.2)","knitr (>= 1.7), markdown (>= 0.7), R.utils (>= 1.34.0)",NA,"testthat (>= 0.9.1), rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.2.4"
"ezsim","ezsim","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.5.5",NA,NA,"foreach, ggplot2, parallel, digest, plyr, reshape, Jmisc",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"ezsummary","ezsummary","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.1.9",NA,"R (>= 3.1.2)","dplyr (>= 0.4), reshape2 (>= 1.4.1), tidyr (>= 0.3)",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.2.4"
"FacPad","FacPad","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","3.0",NA,"R (>= 2.12.1),Rlab,MASS",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"FactMixtAnalysis","FactMixtAnalysis","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0",NA,"R (>= 2.0.1), MASS, mvtnorm",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"3.2.4"
"FACTMLE","FACTMLE","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.1",NA,NA,"rARPACK, stats",NA,"MASS",NA,"GPL-3",NA,NA,NA,NA,"no","3.2.4"
"FactoClass","FactoClass","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.1.2",NA,"R (>= 2.7.0), ade4, xtable",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.2.4"
"FactoMineR","FactoMineR","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.32",NA,"R (>= 2.12.0)","
car,cluster,ellipse,flashClust,graphics,grDevices,lattice,leaps,MASS,scatterplot3d,stats,data.table,dplyr,knitr",NA,"missMDA",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"factorplot","factorplot","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.1-1",NA,"multcomp, nnet",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"factorQR","factorQR","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.1-4",NA,"R (>= 2.1), lattice",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"3.2.4"
"Factoshiny","Factoshiny","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0.2",NA,"FactoMineR,shiny(>= 0.11)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"FACTscorer","FACTscorer","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.1.0",NA,"R (>= 3.1.1)",NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","3.2.4"
"factualR","factualR","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.5",NA,"methods, RJSONIO, RCurl",NA,NA,NA,NA,"Apache License 2.0",NA,NA,NA,NA,NA,"3.2.4"
"FADA","FADA","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.2",NA,"MASS, elasticnet","sparseLDA,sda,glmnet,mnormt,crossval",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"FAdist","FAdist","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","2.2",NA,NA,"stats",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.2.4"
"Fahrmeir","Fahrmeir","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","2015.6.25",NA,"stats, R (>= 2.1.0)",NA,NA,"MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"fail","fail","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.3",NA,NA,"stats, utils, BBmisc, checkmate",NA,"testthat",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"no","3.2.4"
"faisalconjoint","faisalconjoint","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.15",NA,NA,NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","3.2.4"
"falcon","falcon","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.1",NA,"R (>= 3.0.1)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.2.4"
"falsy","falsy","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0.1",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.2.4"
"fame","fame","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","2.21",NA,"R (>= 2.3)","tis",NA,NA,NA,"Unlimited",NA,NA,NA,NA,"yes","3.2.4"
"FamEvent","FamEvent","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.1",NA,"R(>= 3.0.0), base, MASS, truncnorm, survival, kinship2",NA,NA,NA,NA,"GPL (>= 2.0)",NA,NA,NA,NA,"no","3.2.4"
"Familias","Familias","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","2.4",NA,"R (>= 1.8.0), kinship2, paramlink, Rsolnp",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.2.4"
"FAMILY","FAMILY","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.1.19",NA,NA,"pheatmap, pROC",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"FAmle","FAmle","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.3.4",NA,"mvtnorm","graphics, stats, utils",NA,"FAdist",NA,"GPL-2",NA,NA,NA,NA,"yes","3.2.4"
"fanc","fanc","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.25",NA,"Matrix",NA,NA,"RGtk2, tcltk, matlab",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.2.4"
"fANCOVA","fANCOVA","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.5-1",NA,NA,NA,NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,NA,"3.2.4"
"fancycut","fancycut","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.1.0",NA,"R (>= 3.2.2)",NA,NA,NA,NA,"CC0",NA,NA,NA,NA,"no","3.2.4"
"fanovaGraph","fanovaGraph","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.4.8",NA,"sensitivity, igraph, DiceKriging (>= 1.4)",NA,NA,"manipulate, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","3.2.4"
"fanplot","fanplot","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","3.4.1",NA,"R (>= 2.10)",NA,NA,"shiny, tsbugs,",NA,"GPL-2",NA,NA,NA,NA,"no","3.2.4"
"FAOSTAT","FAOSTAT","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","2.0",NA,NA,"RJSONIO (>= 0.96-0), plyr (>= 1.7.1), data.table (>= 1.8.2),
MASS (>= 7.3-22), classInt (>= 0.1-19), ggplot2 (>= 0.9.3),
labeling (>= 0.1), scales (>= 0.2.3)",NA,"knitr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"faoutlier","faoutlier","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.6.1",NA,"R (>= 3.0.2), sem, mvtnorm, parallel","methods, lattice, lavaan, mirt (>= 1.14), MASS",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"far","far","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.6-5",NA,"R (>= 2.10.0), nlme, graphics, stats",NA,NA,NA,NA,"LGPL-2.1",NA,NA,NA,NA,"yes","3.2.4"
"faraway","faraway","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0.7",NA,"R (>= 2.10)","lme4,nlme,methods",NA,NA,NA,"GPL",NA,NA,NA,NA,"no","3.2.4"
"fArma","fArma","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","3010.79",NA,"R (>= 2.4.0), methods, timeDate, timeSeries, fBasics",NA,NA,"RUnit, tcltk",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.2.4"
"farsi","farsi","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.2.4"
"fAsianOptions","fAsianOptions","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","3010.79",NA,"R (>= 2.4.0), timeDate, timeSeries, fBasics, fOptions",NA,NA,"RUnit",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.2.4"
"fAssets","fAssets","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","3011.83",NA,"R (>= 2.15.1), timeDate, timeSeries, fBasics","fMultivar, robustbase, MASS, sn, ecodist, mvnormtest, energy",NA,"methods, mnormt, RUnit",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"fast","fast","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.64",NA,"zoo",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.2.4"
"fastAdaboost","fastAdaboost","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0.0",NA,"R (>= 3.1.2)","Rcpp, rpart","Rcpp (>= 0.12.0)","testthat, knitr, MASS",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.2.4"
"FastBandChol","FastBandChol","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.1.1",NA,NA,"Rcpp","Rcpp, RcppArmadillo",NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.2.4"
"fastclime","fastclime","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.2.5",NA,"R (>= 2.15.0), lattice, igraph, MASS, Matrix",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.2.4"
"fastcluster","fastcluster","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.1.16",NA,"R (>= 3.0.0)",NA,NA,NA,"stats, flashClust","FreeBSD | GPL-2 | file LICENSE",NA,NA,NA,NA,"yes","3.2.4"
"fastcox","fastcox","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.1.1",NA,"Matrix",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.2.4"
"fastGHQuad","fastGHQuad","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.2",NA,"Rcpp (>= 0.11.0)",NA,"Rcpp",NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.2.4"
"FastGP","FastGP","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.2",NA,NA,"Rcpp, MASS, mvtnorm, rbenchmark, stats","Rcpp, RcppEigen",NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.2.4"
"fastGraph","fastGraph","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0",NA,"R (>= 2.0)",NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","3.2.4"
"fastHICA","fastHICA","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0.2",NA,"fastICA, energy",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"fastICA","fastICA","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.2-0",NA,"R (>= 3.0.0)",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.2.4"
"FastImputation","FastImputation","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.3",NA,NA,"methods",NA,"testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"FastKM","FastKM","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0",NA,"rARPACK, stats, methods",NA,NA,"coxKM, SKAT, survival",NA,"GPL-2",NA,NA,NA,NA,"no","3.2.4"
"FastKNN","FastKNN","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.0.1",NA,NA,"pdist, assertthat",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","3.2.4"
"fastM","fastM","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.0-2",NA,NA,"Rcpp (>= 0.11.0)","Rcpp, RcppArmadillo",NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.2.4"
"fastmatch","fastmatch","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0-4",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"3.2.4"
"fastpseudo","fastpseudo","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.1",NA,"R (>= 3.1.1)",NA,NA,"geepack",NA,"GPL-2",NA,NA,NA,NA,"no","3.2.4"
"fastR","fastR","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.10.2",NA,"R (>= 3.0.0), mosaic","lattice, grid, mosaicData",NA,"MASS, faraway, Hmisc, DAAG, multcomp, vcd, car, alr3,
corrgram, BradleyTerry2, cubature, Devore7, knitr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"FastRWeb","FastRWeb","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.1-1",NA,"R (>= 2.0.0)","base64enc, grDevices, stats, utils, Cairo",NA,"Rserve",NA,"GPL-2",NA,NA,NA,NA,"yes","3.2.4"
"fastSOM","fastSOM","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.9",NA,NA,NA,NA,"parallel",NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"3.2.4"
"fasttime","fasttime","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0-1",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.2.4"
"fat2Lpoly","fat2Lpoly","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.2.2",NA,"R (>= 3.2)","kinship2, multgee",NA,NA,NA,"GPL",NA,NA,NA,NA,"no","3.2.4"
"FatTailsR","FatTailsR","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.6-0",NA,"R (>= 3.1.0)","minpack.lm, timeSeries, parallel, stats",NA,"zoo, xts",NA,"GPL-2",NA,NA,NA,NA,"no","3.2.4"
"favnums","favnums","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0.0",NA,"R (>= 2.10)",NA,NA,NA,NA,"CC0",NA,NA,NA,NA,"no","3.2.4"
"fBasics","fBasics","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","3011.87",NA,"R (>= 2.15.1), timeDate, timeSeries","gss, stabledist, MASS",NA,"methods, spatial, RUnit, tcltk, akima",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.2.4"
"fbati","fbati","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0-1",NA,"pbatR(>= 2.0.0)","tcltk, fgui, rootSolve",NA,NA,NA,"GPL",NA,NA,NA,NA,"yes","3.2.4"
"FBFsearch","FBFsearch","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0",NA,"Rcpp (>= 0.9.13), RcppArmadillo (>= 0.3.2.4)",NA,"Rcpp, RcppArmadillo",NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.2.4"
"FBN","FBN","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.5.1",NA,"R (>= 2.10)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"3.2.4"
"fBonds","fBonds","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","3010.77",NA,"R (>= 2.4.0), timeDate, timeSeries, fBasics",NA,NA,"RUnit",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"fbRanks","fbRanks","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","2.0",NA,"stats","igraph, stringr",NA,"RJSONIO, RCurl, httr, XML, Rlab, xtable, tcltk, speedglm,
glmnet",NA,"GPL-2",NA,NA,NA,NA,"no","3.2.4"
"fbroc","fbroc","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.3.1",NA,"R (>= 3.2.0), ggplot2, methods, stats, utils","Rcpp","Rcpp",NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.2.4"
"fcd","fcd","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.1",NA,"R (>= 2.15.1), glmnet, MASS, combinat",NA,NA,NA,NA,"GPL (>= 2.0)",NA,NA,NA,NA,"no","3.2.4"
"fCertificates","fCertificates","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.5-4",NA,"R (>= 2.6.0), fBasics, fOptions, fExoticOptions",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"FCGR","FCGR","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0-0",NA,"R (>= 3.2.2), KernSmooth, kerdiest, nlme","MASS, mgcv, pspline, sfsmisc",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"fclust","fclust","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.1.2",NA,"R(>= 2.8.1), base, stats, graphics, grDevices",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"FCMapper","FCMapper","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.1",NA,NA,"igraph",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.2.4"
"FCNN4R","FCNN4R","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.6.2",NA,"R (>= 3.0), stats, graphics, methods, Rcpp",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.2.4"
"fCopulae","fCopulae","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","3011.81",NA,"R (>= 2.15.1), timeDate, timeSeries, fBasics, fMultivar",NA,NA,"methods, RUnit, tcltk, mvtnorm, sn",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"fcros","fcros","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.4.1",NA,"R (>= 2.10)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.2.4"
"FD","FD","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0-12",NA,"ade4, ape, geometry, vegan",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.2.4"
"fda","fda","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","2.4.4",NA,"R (>= 2.10.0), splines, Matrix, graphics",NA,NA,"deSolve, R.matlab, quadprog, nlme, lattice, RCurl, zoo",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"fdakma","fdakma","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.2.1",NA,NA,NA,NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","3.2.4"
"fdaMixed","fdaMixed","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.4",NA,NA,"Formula, Rcpp","Rcpp, RcppArmadillo",NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.2.4"
"fdapace","fdapace","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.1.0",NA,NA,"Rcpp (>= 0.11.5), Hmisc, plot3D, Matrix, pracma, numDeriv","Rcpp, RcppEigen","rgl, aplpack, mgcv, ks, MASS, gtools",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","3.2.4"
"fdatest","fdatest","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","2.1",NA,"fda",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.2.4"
"fda.usc","fda.usc","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.2.2",NA,"R (>= 2.10), fda, splines, MASS, mgcv, rpart","methods, grDevices, graphics, utils, stats",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.2.4"
"FDboost","FDboost","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.0-8",NA,"R (>= 3.0.0), mboost (>= 2.4-2)","Matrix, mgcv, zoo, MASS",NA,"fda, fields, maps, mapdata",NA,"GPL-2",NA,NA,NA,NA,"no","3.2.4"
"FDGcopulas","FDGcopulas","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0",NA,"Rcpp (>= 0.10.6), methods","numDeriv, randtoolbox","Rcpp",NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","3.2.4"
"fdrci","fdrci","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","2.0",NA,NA,NA,NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"no","3.2.4"
"FDRreg","FDRreg","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.1",NA,"fda (>= 2.4.0), splines (>= 3.0.2)","Rcpp (>= 0.11.0), mosaic (>= 0.8-10)","Rcpp, RcppArmadillo",NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","3.2.4"
"FDRsampsize","FDRsampsize","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0",NA,"R (>= 2.15.1)","stats",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.2.4"
"fdrtool","fdrtool","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.2.15",NA,"R (>= 3.0.2)","graphics, grDevices, stats",NA,"",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","3.2.4"
"fds","fds","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.7",NA,"R (>= 2.10.0), rainbow, RCurl",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"fdth","fdth","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.2-1",NA,"R (>= 2.6.0), stats, grDevices, graphics",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"FeaLect","FeaLect","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.10",NA,"lars, rms",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"feature","feature","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.2.13",NA,"R (>= 1.4.0)","grDevices, graphics, ks (>= 1.10.0), misc3d, rgl, stats, tcltk",NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","3.2.4"
"features","features","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","2015.12-1",NA,"lokern",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"fechner","fechner","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0-2",NA,"R (>= 2.15.1), base, graphics, stats","base, graphics, stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"3.2.4"
"FENmlm","FENmlm","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0",NA,"stats, numDeriv, Matrix, MASS",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"fermicatsR","fermicatsR","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.4",NA,"R (>= 3.1.0)",NA,NA,"ggplot2",NA,"CC0",NA,NA,NA,NA,"no","3.2.4"
"fExoticOptions","fExoticOptions","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","2152.78",NA,"R (>= 2.4.0), methods, timeDate, timeSeries, fBasics, fOptions",NA,NA,"RUnit",NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"3.2.4"
"fExpressCertificates","fExpressCertificates","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.2",NA,"R (>= 2.15.0), mvtnorm, tmvtnorm, fCertificates, Matrix",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"fExtremes","fExtremes","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","3010.81",NA,"R (>= 2.4.0), timeDate, timeSeries, fBasics, fGarch, fTrading","methods",NA,"RUnit, tcltk",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
"ff","ff","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","2.2-13",NA,"R (>= 2.10.1), bit (>= 1.1-12), utils",NA,NA,"biglm",NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"yes","3.2.4"
"ffbase","ffbase","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.12.1",NA,"R (>= 2.12.0),ff(>= 2.2-11)","fastmatch, bit",NA,"testthat, parallel, LaF, biglm",NA,"GPL-3",NA,NA,NA,NA,"yes","3.2.4"
"FFD","FFD","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0-6",NA,"R (>= 2.10), methods, graphics, tcltk, tkrplot, R2HTML",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.2.4"
"FField","FField","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.1.0",NA,NA,NA,NA,"ggplot2, gridExtra",NA,"GPL-3",NA,NA,NA,NA,"no","3.2.4"
"ffmanova","ffmanova","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.2-2",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"3.2.4"
"fgac","fgac","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","0.6-1",NA,NA,NA,NA,NA,NA,"GPL",NA,NA,NA,NA,NA,"3.2.4"
"FGalgorithm","FGalgorithm","/pkg/suse11/r/3.2.4/gcc/lib64/R/library","1.0",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.2.4"
